 Argentina,Juan José Imhoff,7 tries,https://en.wikipedia.org/wiki/Juan_Jos%C3%A9_Imhoff
 Fiji,Apisai Naevo,2 tries,https://en.wikipedia.org/wiki/Apisai_Naevo
 Fiji,Salacieli Naivilawasa,2 tries,https://en.wikipedia.org/wiki/Salacieli_Naivilawasa
 Fiji,Leone Nakarawa,2 tries,https://en.wikipedia.org/wiki/Leone_Nakarawa
 Fiji,Kameli Ratuvou,2 tries,https://en.wikipedia.org/wiki/Kameli_Ratuvou
 Fiji,Imanueli Tikomaimakogia,2 tries,https://en.wikipedia.org/w/index.php?title=Imanueli_Tikomaimakogia&action=edit&redlink=1
 Fiji,Aisea Tuilevu,2 tries,https://en.wikipedia.org/wiki/Aisea_Tuilevu
 Fiji,Marika Vunibaka,2 tries,https://en.wikipedia.org/wiki/Marika_Vunibaka
 Fiji,Jioji Cama,1 try,https://en.wikipedia.org/wiki/Jioji_Cama
 Fiji,Tevita Cavubati,1 try,https://en.wikipedia.org/wiki/Tevita_Cavubati
 Fiji,Jimi Damu,1 try,https://en.wikipedia.org/wiki/Jimi_Damu
 Fiji,Graham Dewes,1 try,https://en.wikipedia.org/wiki/Graham_Dewes
 Fiji,Peceli Gale,1 try,https://en.wikipedia.org/wiki/Peceli_Gale
 Fiji,Emori Katalau,1 try,https://en.wikipedia.org/wiki/Emori_Katalau
 Fiji,Nemia Kenatale,1 try,https://en.wikipedia.org/wiki/Nemia_Kenatale
 Fiji,Kini Murimurivalu,1 try,https://en.wikipedia.org/wiki/Kini_Murimurivalu
 Fiji,Setareki Naivaluwaqa,1 try,https://en.wikipedia.org/w/index.php?title=Setareki_Naivaluwaqa&action=edit&redlink=1
 Fiji,Mali Nakauta,1 try,https://en.wikipedia.org/w/index.php?title=Mali_Nakauta&action=edit&redlink=1
 Fiji,Kavekini Nalaga,1 try,https://en.wikipedia.org/wiki/Kavekini_Nalaga
 Fiji,Napolioni Nalaga,1 try,https://en.wikipedia.org/wiki/Napolioni_Nalaga
 Fiji,Pita Naruma,1 try,https://en.wikipedia.org/wiki/Pita_Naruma
 Fiji,Isoa Neivua,1 try,https://en.wikipedia.org/wiki/Isoa_Neivua
 Fiji,Manasa Qoro,1 try,https://en.wikipedia.org/wiki/Manasa_Qoro
 Fiji,Seru Rabeni,1 try,https://en.wikipedia.org/wiki/Seru_Rabeni
 Fiji,Aca Ratuva,1 try,https://en.wikipedia.org/wiki/Aca_Ratuva
 Fiji,Jacob Raulini,1 try,https://en.wikipedia.org/w/index.php?title=Jacob_Raulini&action=edit&redlink=1
 Fiji,Iliatia Savai,1 try,https://en.wikipedia.org/w/index.php?title=Iliatia_Savai&action=edit&redlink=1
 Fiji,Greg Smith,1 try,https://en.wikipedia.org/wiki/Greg_Smith_(rugby_union)
 Fiji,Netani Talei,1 try,https://en.wikipedia.org/wiki/Netani_Talei
 Fiji,Alfred Uluinayau,1 try,https://en.wikipedia.org/wiki/Alfred_Uluinayau
 Fiji,Ben Volavola,1 try,https://en.wikipedia.org/wiki/Ben_Volavola
 Fiji,Alifereti Mocelutu Vuivau,1 try,https://en.wikipedia.org/w/index.php?title=Alifereti_Mocelutu_Vuivau&action=edit&redlink=1
 France,Vincent Clerc,11 tries,https://en.wikipedia.org/wiki/Vincent_Clerc
 France,Christophe Dominici,8 tries,https://en.wikipedia.org/wiki/Christophe_Dominici
 France,Jean-Baptiste Lafond,6 tries,https://en.wikipedia.org/wiki/Jean-Baptiste_Lafond
 France,Émile Ntamack,6 tries,https://en.wikipedia.org/wiki/%C3%89mile_Ntamack
 France,Didier Camberabero,5 tries,https://en.wikipedia.org/wiki/Didier_Camberabero
 France,Philippe Saint-André,5 tries,https://en.wikipedia.org/wiki/Philippe_Saint-Andr%C3%A9
 France,Philippe Sella,5 tries,https://en.wikipedia.org/wiki/Philippe_Sella
 France,Philippe Bernat-Salles,4 tries,https://en.wikipedia.org/wiki/Philippe_Bernat-Salles
 France,Denis Charvet,4 tries,https://en.wikipedia.org/wiki/Denis_Charvet
 France,Yannick Jauzion,4 tries,https://en.wikipedia.org/wiki/Yannick_Jauzion
 France,Thierry Lacroix,4 tries,https://en.wikipedia.org/wiki/Thierry_Lacroix
 France,Patrice Lagisquet,4 tries,https://en.wikipedia.org/wiki/Patrice_Lagisquet
 France,Lionel Nallet,4 tries,https://en.wikipedia.org/wiki/Lionel_Nallet
 France,Laurent Rodriguez,4 tries,https://en.wikipedia.org/wiki/Laurent_Rodriguez
 France,Thierry Dusautoir,3 tries,https://en.wikipedia.org/wiki/Thierry_Dusautoir
 France,Imanol Harinordoquy,3 tries,https://en.wikipedia.org/wiki/Imanol_Harinordoquy
 France,Brian Liebenberg,3 tries,https://en.wikipedia.org/wiki/Brian_Liebenberg
 France,Rodolphe Modin,3 tries,https://en.wikipedia.org/wiki/Rodolphe_Modin
 France,Ugo Mola,3 tries,https://en.wikipedia.org/wiki/Ugo_Mola
 France,Pierre Berbizier,2 tries,https://en.wikipedia.org/wiki/Pierre_Berbizier
 France,Serge Betsen,2 tries,https://en.wikipedia.org/wiki/Serge_Betsen
 France,Serge Blanco,2 tries,https://en.wikipedia.org/wiki/Serge_Blanco
 France,Julien Bonnaire,2 tries,https://en.wikipedia.org/wiki/Julien_Bonnaire
 France,Sébastien Chabal,2 tries,https://en.wikipedia.org/wiki/S%C3%A9bastien_Chabal
 France,Jean-Jacques Crenca,2 tries,https://en.wikipedia.org/wiki/Jean-Jacques_Crenca
 France,Richard Dourthe,2 tries,https://en.wikipedia.org/wiki/Richard_Dourthe
 France,Wesley Fofana,2 tries,https://en.wikipedia.org/wiki/Wesley_Fofana
 France,Xavier Garbajosa,2 tries,https://en.wikipedia.org/wiki/Xavier_Garbajosa
 France,Sofiane Guitoune,2 tries,https://en.wikipedia.org/wiki/Sofiane_Guitoune
 France,Raphaël Ibañez,2 tries,https://en.wikipedia.org/wiki/Rapha%C3%ABl_Iba%C3%B1ez
 France,Guy Laporte,2 tries,https://en.wikipedia.org/wiki/Guy_Laporte
 France,Alain Lorieux,2 tries,https://en.wikipedia.org/wiki/Alain_Lorieux
 France,Olivier Magne,2 tries,https://en.wikipedia.org/wiki/Olivier_Magne
 France,Frédéric Michalak,2 tries,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Michalak
 France,Yannick Nyanga,2 tries,https://en.wikipedia.org/wiki/Yannick_Nyanga
 France,Pascal Papé,2 tries,https://en.wikipedia.org/wiki/Pascal_Pap%C3%A9
 France,Clément Poitrenaud,2 tries,https://en.wikipedia.org/wiki/Cl%C3%A9ment_Poitrenaud
 France,Aurélien Rougerie,2 tries,https://en.wikipedia.org/wiki/Aur%C3%A9lien_Rougerie
 France,Olivier Roumat,2 tries,https://en.wikipedia.org/wiki/Olivier_Roumat
 France,Rabah Slimani,2 tries,https://en.wikipedia.org/wiki/Rabah_Slimani
 France,François Trinh-Duc,2 tries,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Trinh-Duc
 France,Guy Accoceberry,1 try,https://en.wikipedia.org/wiki/Guy_Accoceberry
 France,Marc Andrieu,1 try,https://en.wikipedia.org/wiki/Marc_Andrieu
 France,Lionel Beauxis,1 try,https://en.wikipedia.org/wiki/Lionel_Beauxis
 France,Abdelatif Benazzi,1 try,https://en.wikipedia.org/wiki/Abdelatif_Benazzi
 France,Yannick Bru,1 try,https://en.wikipedia.org/wiki/Yannick_Bru
 France,Sébastien Bruno,1 try,https://en.wikipedia.org/wiki/S%C3%A9bastien_Bruno
 France,Nicolas Brusque,1 try,https://en.wikipedia.org/wiki/Nicolas_Brusque
 France,Thomas Castaignède,1 try,https://en.wikipedia.org/wiki/Thomas_Castaign%C3%A8de
 France,Arnaud Costes,1 try,https://en.wikipedia.org/wiki/Arnaud_Costes
 France,Daniel Dubroca,1 try,https://en.wikipedia.org/wiki/Daniel_Dubroca
 France,Pépito Elhorga,1 try,https://en.wikipedia.org/wiki/P%C3%A9pito_Elhorga
 France,Jean-Baptiste Élissalde,1 try,https://en.wikipedia.org/wiki/Jean-Baptiste_%C3%89lissalde
 France,Dominique Erbani,1 try,https://en.wikipedia.org/wiki/Dominique_Erbani
 France,Patrick Esteve,1 try,https://en.wikipedia.org/w/index.php?title=Patrick_Esteve&action=edit&redlink=1
 France,Gaël Fickou,1 try,https://en.wikipedia.org/wiki/Ga%C3%ABl_Fickou
 France,Fabien Galthié,1 try,https://en.wikipedia.org/wiki/Fabien_Galthi%C3%A9
 France,Stéphane Glas,1 try,https://en.wikipedia.org/wiki/St%C3%A9phane_Glas
 France,Rémy Grosso,1 try,https://en.wikipedia.org/wiki/R%C3%A9my_Grosso
 France,Guilhem Guirado,1 try,https://en.wikipedia.org/wiki/Guilhem_Guirado
 France,Aubin Hueber,1 try,https://en.wikipedia.org/wiki/Aubin_Hueber
 France,Cédric Heymans,1 try,https://en.wikipedia.org/wiki/C%C3%A9dric_Heymans
 France,Christophe Juillet,1 try,https://en.wikipedia.org/wiki/Christophe_Juillet
 France,Christophe Lamaison,1 try,https://en.wikipedia.org/wiki/Christophe_Lamaison
 France,Rémy Martin,1 try,https://en.wikipedia.org/wiki/R%C3%A9my_Martin_(rugby_union)
 France,David Marty,1 try,https://en.wikipedia.org/wiki/David_Marty
 France,Nicolas Mas,1 try,https://en.wikipedia.org/wiki/Nicolas_Mas
 France,Maxime Médard,1 try,https://en.wikipedia.org/wiki/Maxime_M%C3%A9dard
 France,Maxime Mermoz,1 try,https://en.wikipedia.org/wiki/Maxime_Mermoz
 France,Pierre Mignoni,1 try,https://en.wikipedia.org/wiki/Pierre_Mignoni
 France,Morgan Parra,1 try,https://en.wikipedia.org/wiki/Morgan_Parra
 France,Fabien Pelous,1 try,https://en.wikipedia.org/wiki/Fabien_Pelous
 France,Louis Picamoles,1 try,https://en.wikipedia.org/wiki/Louis_Picamoles
 France,Julien Pierre,1 try,https://en.wikipedia.org/wiki/Julien_Pierre
 France,Jean-Baptiste Poux,1 try,https://en.wikipedia.org/wiki/Jean-Baptiste_Poux
 France,William Téchoueyres,1 try,https://en.wikipedia.org/wiki/William_T%C3%A9choueyres
 France,Damien Traille,1 try,https://en.wikipedia.org/wiki/Damien_Traille
 France,Sébastien Viars,1 try,https://en.wikipedia.org/wiki/S%C3%A9bastien_Viars
 Georgia,Mamuka Gorgodze,3 tries,https://en.wikipedia.org/wiki/Mamuka_Gorgodze
 Georgia,Dimitri Basilaia,1 try,https://en.wikipedia.org/wiki/Dimitri_Basilaia
 Georgia,David Dadunashvili,1 try,https://en.wikipedia.org/wiki/David_Dadunashvili
 Georgia,Akvsenti Giorgadze,1 try,https://en.wikipedia.org/wiki/Akvsenti_Giorgadze
 Georgia,David Kacharava,1 try,https://en.wikipedia.org/wiki/David_Kacharava
 Georgia,Lasha Khmaladze,1 try,https://en.wikipedia.org/wiki/Lasha_Khmaladze
 Georgia,Irakli Machkhaneli,1 try,https://en.wikipedia.org/wiki/Irakli_Machkhaneli
 Georgia,Zviad Maissuradze,1 try,https://en.wikipedia.org/wiki/Zviad_Maissuradze
 Georgia,Lasha Malaghuradze,1 try,https://en.wikipedia.org/wiki/Lasha_Malaghuradze
 Georgia,Giorgi Shkinin,1 try,https://en.wikipedia.org/wiki/Giorgi_Shkinin
 Georgia,Giorgi Tkhilaishvili,1 try,https://en.wikipedia.org/wiki/Giorgi_Tkhilaishvili
 Georgia,Beka Tsiklauri,1 try,https://en.wikipedia.org/wiki/Beka_Tsiklauri
 Ireland,Keith Earls,8 tries,https://en.wikipedia.org/wiki/Keith_Earls
 Ireland,Brian O'Driscoll,7 tries,https://en.wikipedia.org/wiki/Brian_O%27Driscoll
 Ireland,Keith Wood,5 tries,https://en.wikipedia.org/wiki/Keith_Wood
 Ireland,Tommy Bowe,4 tries,https://en.wikipedia.org/wiki/Tommy_Bowe
 Ireland,Rob Kearney,4 tries,https://en.wikipedia.org/wiki/Rob_Kearney
 Ireland,Hugo MacNeill,4 tries,https://en.wikipedia.org/wiki/Hugo_MacNeill_(rugby_player)
 Ireland,Brian Robinson,4 tries,https://en.wikipedia.org/wiki/Brian_Robinson_(rugby_player)
 Ireland,Denis Hickie,3 tries,https://en.wikipedia.org/wiki/Denis_Hickie
 Ireland,Brendan Mullin,3 tries,https://en.wikipedia.org/wiki/Brendan_Mullin
 Ireland,Nick Popplewell,3 tries,https://en.wikipedia.org/wiki/Nick_Popplewell
 Ireland,Alan Quinlan,3 tries,https://en.wikipedia.org/wiki/Alan_Quinlan
 Ireland,Rory Best,2 tries,https://en.wikipedia.org/wiki/Rory_Best
 Ireland,David Corkery,2 tries,https://en.wikipedia.org/wiki/David_Corkery
 Ireland,Keith Crossan,2 tries,https://en.wikipedia.org/wiki/Keith_Crossan
 Ireland,Girvan Dempsey,2 tries,https://en.wikipedia.org/wiki/Girvan_Dempsey
 Ireland,Eric Elwood,2 tries,https://en.wikipedia.org/wiki/Eric_Elwood
 Ireland,Simon Geoghegan,2 tries,https://en.wikipedia.org/wiki/Simon_Geoghegan
 Ireland,Eddie Halvey,2 tries,https://en.wikipedia.org/wiki/Eddie_Halvey
 Ireland,Shane Horgan,2 tries,https://en.wikipedia.org/wiki/Shane_Horgan
 Ireland,Noel Mannion,2 tries,https://en.wikipedia.org/wiki/Noel_Mannion
 Ireland,Denis McBride,2 tries,https://en.wikipedia.org/wiki/Denis_McBride_(rugby_union)
 Ireland,Eric Miller,2 tries,https://en.wikipedia.org/wiki/Eric_Miller_(rugby_player)
 Ireland,Sean O'Brien,2 tries,https://en.wikipedia.org/wiki/Sean_O%27Brien_(rugby_player)
 Ireland,Conor O'Shea,2 tries,https://en.wikipedia.org/wiki/Conor_O%27Shea
 Ireland,Andrew Trimble,2 tries,https://en.wikipedia.org/wiki/Andrew_Trimble
 Ireland,Justin Bishop,1 try,https://en.wikipedia.org/wiki/Justin_Bishop_(rugby_player)
 Ireland,Isaac Boss,1 try,https://en.wikipedia.org/wiki/Isaac_Boss
 Ireland,Michael Bradley,1 try,https://en.wikipedia.org/wiki/Michael_Bradley_(rugby)
 Ireland,Tony Buckley,1 try,https://en.wikipedia.org/wiki/Tony_Buckley
 Ireland,Victor Costello,1 try,https://en.wikipedia.org/wiki/Victor_Costello
 Ireland,Sean Cronin,1 try,https://en.wikipedia.org/wiki/Sean_Cronin
 Ireland,David Curtis,1 try,https://en.wikipedia.org/wiki/David_Curtis
 Ireland,Guy Easterby,1 try,https://en.wikipedia.org/wiki/Guy_Easterby
 Ireland,Simon Easterby,1 try,https://en.wikipedia.org/wiki/Simon_Easterby
 Ireland,Luke Fitzgerald,1 try,https://en.wikipedia.org/wiki/Luke_Fitzgerald
 Ireland,Jerry Flannery,1 try,https://en.wikipedia.org/wiki/Jerry_Flannery
 Ireland,Neil Francis,1 try,https://en.wikipedia.org/wiki/Neil_Francis_(rugby_union)
 Ireland,Gary Halpin,1 try,https://en.wikipedia.org/wiki/Gary_Halpin
 Ireland,Gordon Hamilton,1 try,https://en.wikipedia.org/wiki/Gordon_Hamilton_(rugby_union)
 Ireland,Iain Henderson,1 try,https://en.wikipedia.org/wiki/Iain_Henderson
 Ireland,Chris Henry,1 try,https://en.wikipedia.org/wiki/Chris_Henry_(rugby_union)
 Ireland,Niall Hogan,1 try,https://en.wikipedia.org/wiki/Niall_Hogan
 Ireland,Marcus Horan,1 try,https://en.wikipedia.org/wiki/Marcus_Horan
 Ireland,David Humphreys,1 try,https://en.wikipedia.org/wiki/David_Humphreys_(rugby_player)
 Ireland,Shane Jennings,1 try,https://en.wikipedia.org/wiki/Shane_Jennings
 Ireland,David Kearney,1 try,https://en.wikipedia.org/wiki/Dave_Kearney
 Ireland,John Kelly,1 try,https://en.wikipedia.org/wiki/John_Kelly_(rugby_union)
 Ireland,Michael Kiernan,1 try,https://en.wikipedia.org/wiki/Michael_Kiernan
 Ireland,Kevin Maggs,1 try,https://en.wikipedia.org/wiki/Kevin_Maggs
 Ireland,Fergus McFadden,1 try,https://en.wikipedia.org/wiki/Fergus_McFadden
 Ireland,Geordan Murphy,1 try,https://en.wikipedia.org/wiki/Geordan_Murphy
 Ireland,Jordi Murphy,1 try,https://en.wikipedia.org/wiki/Jordi_Murphy
 Ireland,Conor Murray,1 try,https://en.wikipedia.org/wiki/Conor_Murray
 Ireland,Dion O'Cuinneagain,1 try,https://en.wikipedia.org/wiki/Dion_O%27Cuinneagain
 Ireland,Patrick O'Hara,1 try,https://en.wikipedia.org/wiki/Pat_O%27Hara_(rugby_union)
 Ireland,Jared Payne,1 try,https://en.wikipedia.org/wiki/Jared_Payne
 Ireland,Trevor Ringland,1 try,https://en.wikipedia.org/wiki/Trevor_Ringland
 Ireland,Jonathan Sexton,1 try,https://en.wikipedia.org/wiki/Jonathan_Sexton
 Ireland,Brian Spillane,1 try,https://en.wikipedia.org/wiki/Brian_Spillane
 Ireland,Jim Staples,1 try,https://en.wikipedia.org/wiki/Jim_Staples
 Ireland,Thomas Tierney,1 try,https://en.wikipedia.org/wiki/Thomas_Tierney
 Ireland,Andrew Ward,1 try,https://en.wikipedia.org/wiki/Andy_Ward_(rugby_player)
 Italy,Marcello Cuttitta,5 tries,https://en.wikipedia.org/wiki/Marcello_Cuttitta
 Italy,Paolo Vaccari,4 tries,https://en.wikipedia.org/wiki/Paolo_Vaccari
 Italy,Sergio Parisse,3 tries,https://en.wikipedia.org/wiki/Sergio_Parisse
 Italy,Tommaso Benvenuti,2 tries,https://en.wikipedia.org/wiki/Tommaso_Benvenuti
 Italy,Dennis Dallan,2 tries,https://en.wikipedia.org/wiki/Dennis_Dallan
 Italy,Diego Dominguez,2 tries,https://en.wikipedia.org/wiki/Diego_Dom%C3%ADnguez_(rugby_union)
 Italy,Edoardo Gori,2 tries,https://en.wikipedia.org/wiki/Edoardo_Gori
 Italy,Andrea Masi,2 tries,https://en.wikipedia.org/wiki/Andrea_Masi
 Italy,Giulio Toniolatti,2 tries,https://en.wikipedia.org/wiki/Giulio_Toniolatti
 Italy,Alessandro Zanni,2 tries,https://en.wikipedia.org/wiki/Alessandro_Zanni
 Italy,Tommaso Allan,1 try,https://en.wikipedia.org/wiki/Tommaso_Allan
 Italy,Stefano Barba,1 try,https://en.wikipedia.org/wiki/Stefano_Barba
 Italy,Mauro Bergamasco,1 try,https://en.wikipedia.org/wiki/Mauro_Bergamasco
 Italy,Mirco Bergamasco,1 try,https://en.wikipedia.org/wiki/Mirco_Bergamasco
 Italy,Massimo Bonomi,1 try,https://en.wikipedia.org/wiki/Massimo_Bonomi
 Italy,Martin Castrogiovanni,1 try,https://en.wikipedia.org/wiki/Martin_Castrogiovanni
 Italy,Giancarlo Cucchiella,1 try,https://en.wikipedia.org/wiki/Giancarlo_Cucchiella
 Italy,Massimo Cuttitta,1 try,https://en.wikipedia.org/wiki/Massimo_Cuttitta
 Italy,Manuel Dallan,1 try,https://en.wikipedia.org/wiki/Manuel_Dallan
 Italy,Santiago Dellapè,1 try,https://en.wikipedia.org/wiki/Santiago_Dellap%C3%A8
 Italy,Ivan Francescato,1 try,https://en.wikipedia.org/wiki/Ivan_Francescato
 Italy,Fabio Gaetaniello,1 try,https://en.wikipedia.org/wiki/Fabio_Gaetaniello
 Italy,Gonzalo Garcia,1 try,https://en.wikipedia.org/wiki/Gonzalo_Garcia_(rugby_player)
 Italy,Mario Gerosa,1 try,https://en.wikipedia.org/wiki/Mario_Gerosa
 Italy,Marzio Innocenti,1 try,https://en.wikipedia.org/wiki/Marzio_Innocenti
 Italy,Massimo Mascioletti,1 try,https://en.wikipedia.org/wiki/Massimo_Mascioletti
 Italy,Luke McLean,1 try,https://en.wikipedia.org/wiki/Luke_McLean
 Italy,Alessandro Moscardi,1 try,https://en.wikipedia.org/wiki/Alessandro_Moscardi
 Italy,Luciano Orquera,1 try,https://en.wikipedia.org/wiki/Luciano_Orquera
 Italy,Matthew Phillips,1 try,https://en.wikipedia.org/w/index.php?title=Matthew_Phillips&action=edit&redlink=1
 Italy,Michele Rizzo,1 try,https://en.wikipedia.org/wiki/Michele_Rizzo
 Italy,Leonardo Sarto,1 try,https://en.wikipedia.org/wiki/Leonardo_Sarto
 Italy,Marko Stanojevic,1 try,https://en.wikipedia.org/wiki/Marko_Stanojevic
 Italy,Alessandro Troncon,1 try,https://en.wikipedia.org/wiki/Alessandro_Troncon
 Italy,Giovanbattista Venditti,1 try,https://en.wikipedia.org/wiki/Giovanbattista_Venditti
 Japan,Eiji Kutsuki,4 tries,https://en.wikipedia.org/wiki/Eiji_Kutsuki
 Japan,Kosuke Endo,3 tries,https://en.wikipedia.org/wiki/Kosuke_Endo
 Japan,Hiroyuki Kajihara,3 tries,https://en.wikipedia.org/wiki/Hiroyuki_Kajihara
 Japan,Daisuke Ohata,3 tries,https://en.wikipedia.org/wiki/Daisuke_Ohata
 Japan,Hirotoki Onozawa,3 tries,https://en.wikipedia.org/wiki/Hirotoki_Onozawa
 Japan,Yoshihito Yoshida,3 tries,https://en.wikipedia.org/wiki/Yoshihito_Yoshida
 Japan,James Arlidge,2 tries,https://en.wikipedia.org/wiki/James_Arlidge
 Japan,Michael Leitch,2 tries,https://en.wikipedia.org/wiki/Michael_Leitch
 Japan,Amanaki Lelei Mafi,2 tries,https://en.wikipedia.org/wiki/Amanaki_Lelei_Mafi
 Japan,Terunori Masuho,2 tries,https://en.wikipedia.org/wiki/Terunori_Masuho
 Japan,Osamu Ota,2 tries,https://en.wikipedia.org/wiki/Osamu_Ota
 Japan,Nofomuli Taumoefolau,2 tries,https://en.wikipedia.org/wiki/Nofomuli_Taumoefolau
 Japan,Luke Thompson,2 tries,https://en.wikipedia.org/wiki/Luke_Thompson_(rugby_player)
 Japan,Tsuyoshi Fujita,1 try,https://en.wikipedia.org/wiki/Tsuyoshi_Fujita
 Japan,Yoshikazu Fujita,1 try,https://en.wikipedia.org/wiki/Yoshikazu_Fujita
 Japan,Ayumu Goromaru,1 try,https://en.wikipedia.org/wiki/Ayumu_Goromaru
 Japan,Kensuke Hatakeyama,1 try,https://en.wikipedia.org/wiki/Kensuke_Hatakeyama
 Japan,Toshiyuki Hayashi,1 try,https://en.wikipedia.org/wiki/Toshiyuki_Hayashi
 Japan,Karne Hesketh,1 try,https://en.wikipedia.org/wiki/Karne_Hesketh
 Japan,Seiji Hirao,1 try,https://en.wikipedia.org/wiki/Seiji_Hirao
 Japan,Shota Horie,1 try,https://en.wikipedia.org/wiki/Shota_Horie
 Japan,Masami Horikoshi,1 try,https://en.wikipedia.org/wiki/Masami_Horikoshi
 Japan,Takahiro Hosokawa,1 try,https://en.wikipedia.org/wiki/Takahiro_Hosokawa
 Japan,Ko Izawa,1 try,https://en.wikipedia.org/wiki/Ko_Izawa
 Japan,George Konia,1 try,https://en.wikipedia.org/wiki/George_Konia
